"","12802.UB6-0021.assembled.fastq","12802.UB6-0022.assembled.fastq","12802.UB6-0023.assembled.fastq","12802.UB6-0024.assembled.fastq","12802.UB6-0025.assembled.fastq","12802.UB6-0026.assembled.fastq","12802.UB6-0027.assembled.fastq","12802.UB6-0028.assembled.fastq","12802.UB6-0029.assembled.fastq","12802.UB6-0030.assembled.fastq","12802.UB6-0031.assembled.fastq","12802.UB6-0032.assembled.fastq","12802.UB6-0033.assembled.fastq","12802.UB6-0034.assembled.fastq","12802.UB6-0035.assembled.fastq","12802.UB6-0036.assembled.fastq","12802.UB6-0037.assembled.fastq","12802.UB6-0038.assembled.fastq","12802.UB6-0039.assembled.fastq","12802.UB6-0040.assembled.fastq"
"12802.UB6-0021.assembled.fastq",0,0.509204458975913,0.564751379324281,0.510973800424342,0.536859892836341,0.566565818687041,0.520425063267564,0.574668938639298,0.54694579974037,0.559587705037286,0.588526383819274,0.553457367098412,0.541004554129692,0.50608586293665,0.564449217152631,0.526281430138687,0.508518839167078,0.537275511360525,0.532713853311253,0.562316997605867
"12802.UB6-0022.assembled.fastq",0.509204458975913,0,0.5139304190068,0.522440077109353,0.550128080065388,0.559565912109989,0.541180134609879,0.557238691092513,0.537024065852866,0.582160937782712,0.610645771715392,0.568110122309367,0.562606034716782,0.478850331680144,0.556153260290603,0.526192351746147,0.521448732165607,0.538407581834622,0.519023444921431,0.559372901353726
"12802.UB6-0023.assembled.fastq",0.564751379324281,0.5139304190068,0,0.506972764111698,0.596816652527427,0.32921354228517,0.578362093920962,0.317819266236437,0.339037407127367,0.572659250676125,0.579039635308517,0.615170153947235,0.514691971243685,0.345014612185169,0.488453079100675,0.540043257096448,0.53328970253209,0.495854648046441,0.492190175204786,0.574635699519623
"12802.UB6-0024.assembled.fastq",0.510973800424342,0.522440077109353,0.506972764111698,0,0.48736440670953,0.511108709520602,0.48630526536941,0.471614334212383,0.490828935265361,0.500389436595316,0.540145346288692,0.517625361848002,0.494009721067513,0.445596456787658,0.49826508638537,0.448969443389234,0.467314042770027,0.475929343659518,0.4532058740056,0.523844621187808
"12802.UB6-0025.assembled.fastq",0.536859892836341,0.550128080065388,0.596816652527427,0.48736440670953,0,0.597296255810626,0.510207060870533,0.593033464250534,0.589703200909498,0.584272174519803,0.58686540130749,0.533400381656685,0.546546625496865,0.531913197054728,0.56434227682675,0.524353147594889,0.511616627219294,0.542159135023824,0.542785570064128,0.556499608380709
"12802.UB6-0026.assembled.fastq",0.566565818687041,0.559565912109989,0.32921354228517,0.511108709520602,0.597296255810626,0,0.546779573738118,0.358223254349945,0.356960448589716,0.58890510733743,0.577782034575586,0.620070262202654,0.52750358950871,0.383062620161652,0.507006104513993,0.567611642485909,0.544575210258405,0.528525512872319,0.522203356603012,0.582797632369328
"12802.UB6-0027.assembled.fastq",0.520425063267564,0.541180134609879,0.578362093920962,0.48630526536941,0.510207060870533,0.546779573738118,0,0.557317226427921,0.55555029782695,0.566659449164395,0.59117982288938,0.549562441791219,0.560147203231348,0.516986071428666,0.550323950309384,0.495565422157874,0.528529958995785,0.535781424543114,0.538995702691015,0.576189850465178
"12802.UB6-0028.assembled.fastq",0.574668938639298,0.557238691092513,0.317819266236437,0.471614334212383,0.593033464250534,0.358223254349945,0.557317226427921,0,0.288008839605342,0.567391922118792,0.538961558507097,0.574627978459499,0.520151619048398,0.322146780523854,0.487801187809987,0.537537728537042,0.526297689056825,0.497025182290931,0.463163111332903,0.578336469597339
"12802.UB6-0029.assembled.fastq",0.54694579974037,0.537024065852866,0.339037407127367,0.490828935265361,0.589703200909498,0.356960448589716,0.55555029782695,0.288008839605342,0,0.540267278978857,0.536615975085141,0.573306453215112,0.500235195295895,0.365674241506284,0.489386078315772,0.542418856674777,0.531116399002649,0.454373173757068,0.441871392704767,0.564663080230018
"12802.UB6-0030.assembled.fastq",0.559587705037286,0.582160937782712,0.572659250676125,0.500389436595316,0.584272174519803,0.58890510733743,0.566659449164395,0.567391922118792,0.540267278978857,0,0.546037161390059,0.545941025105607,0.51768225490236,0.522859758078473,0.532502000355389,0.518217302750748,0.50691756064346,0.520600412186123,0.503877298809471,0.561875492355308
"12802.UB6-0031.assembled.fastq",0.588526383819274,0.610645771715392,0.579039635308517,0.540145346288692,0.58686540130749,0.577782034575586,0.59117982288938,0.538961558507097,0.536615975085141,0.546037161390059,0,0.533581212885772,0.531551576952834,0.57487444277583,0.50717688574642,0.573135465891371,0.5435218125994,0.515522618794441,0.505620353895879,0.533299003881478
"12802.UB6-0032.assembled.fastq",0.553457367098412,0.568110122309367,0.615170153947235,0.517625361848002,0.533400381656685,0.620070262202654,0.549562441791219,0.574627978459499,0.573306453215112,0.545941025105607,0.533581212885772,0,0.547847600859138,0.558418834418122,0.558100531367365,0.532367923399153,0.524864400561202,0.521645669204291,0.505462362740926,0.559237531181128
"12802.UB6-0033.assembled.fastq",0.541004554129692,0.562606034716782,0.514691971243685,0.494009721067513,0.546546625496865,0.52750358950871,0.560147203231348,0.520151619048398,0.500235195295895,0.51768225490236,0.531551576952834,0.547847600859138,0,0.44348676869988,0.495831100725912,0.514339348917984,0.442663246992342,0.497404923834757,0.508986769505007,0.510049908166103
"12802.UB6-0034.assembled.fastq",0.50608586293665,0.478850331680144,0.345014612185169,0.445596456787658,0.531913197054728,0.383062620161652,0.516986071428666,0.322146780523854,0.365674241506284,0.522859758078473,0.57487444277583,0.558418834418122,0.44348676869988,0,0.474618638889694,0.476629036360011,0.414798766477613,0.500628001676931,0.483164107698872,0.539987003490345
